"label","subdistrict_id"
"Aranday, Kabupaten Teluk Bintuni, Papua Barat","6524"
"Aranio, Kabupaten Banjar, Kalimantan Selatan","477"
"Arcamanik, Kota Bandung, Jawa Barat","340"
"Arga Makmur, Kabupaten Bengkulu Utara, Bengkulu","865"
"Argapura, Kabupaten Majalengka, Jawa Barat","3553"
"Argomulyo, Kota Salatiga, Jawa Tengah","5352"
"Arimop, Kabupaten Boven Digoel, Papua","1221"
"Arjasa, Kabupaten Jember, Jawa Timur","2203"
"Arjasa, Kabupaten Situbondo, Jawa Timur","5762"
"Arjasa, Kabupaten Sumenep, Jawa Timur","6092"
"Arjasari, Kabupaten Bandung, Jawa Barat","307"
"Arjawinangun, Kabupaten Cirebon, Jawa Barat","1472"
"Arjosari, Kabupaten Pacitan, Jawa Timur","4522"
"Arma Jaya, Kabupaten Bengkulu Utara, Bengkulu","866"
"Aroba, Kabupaten Teluk Bintuni, Papua Barat","6525"
"Arongan Lambalek, Kabupaten Aceh Barat, Nanggroe Aceh Darussalam (NAD)","1"
"Arosbaya, Kabupaten Bangkalan, Jawa Timur","454"
"Arse, Kabupaten Tapanuli Selatan, Sumatera Utara","6376"
"Arso Timur, Kabupaten Keerom, Papua","2527"
"Arso, Kabupaten Keerom, Papua","2526"
"Aru Selatan Timur, Kabupaten Kepulauan Aru, Maluku","2579"
"Aru Selatan Utara, Kabupaten Kepulauan Aru, Maluku","2580"
"Aru Selatan, Kabupaten Kepulauan Aru, Maluku","2578"
"Aru Tengah Selatan, Kabupaten Kepulauan Aru, Maluku","2582"
"Aru Tengah Timur, Kabupaten Kepulauan Aru, Maluku","2583"
"Aru Tengah, Kabupaten Kepulauan Aru, Maluku","2581"
"Aru Utara Timur Batuley, Kabupaten Kepulauan Aru, Maluku","2585"
"Aru Utara, Kabupaten Kepulauan Aru, Maluku","2584"
"Arungkeke, Kabupaten Jeneponto, Sulawesi Selatan","2237"
